text,category
We present a comparative study of supervised learning algorithms for predicting customer churn.,Machine Learning
This research presents a pose estimation framework for tracking human movement in video footage.,Computer Vision
We propose a robotic manipulation framework for grasping objects of varying shapes and sizes.,Robotics
An overview of edge computing architectures that extend cloud capabilities closer to end users.,Cloud Computing
"An empirical evaluation of hyperparameter tuning strategies including grid search, random search, and Bayesian optimization.",Machine Learning
The paper surveys recent advances in AI alignment techniques for ensuring safe and controllable intelligent systems.,Artificial Intelligence
An analysis of large language model performance on question answering benchmarks.,Natural Language Processing
We present a fuzzing framework for discovering memory corruption vulnerabilities in native applications.,Cyber Security
We introduce a load balancing algorithm for distributing traffic across geographically distributed data centers.,Cloud Computing
A survey of robotic grasping strategies for handling deformable objects in warehouse automation.,Robotics
"The paper evaluates cloud storage systems for durability, availability, and latency in distributed applications.",Cloud Computing
This work explores semi-supervised learning techniques for training models with limited labelled data.,Machine Learning
An overview of underwater robotics systems designed for ocean exploration and data collection.,Robotics
The study compares object tracking algorithms for surveillance camera applications.,Computer Vision
This paper presents an auto-scaling strategy for optimizing resource allocation in cloud-native applications.,Cloud Computing
We propose a new loss function that improves convergence speed for gradient descent based optimizers.,Machine Learning
This paper explores general artificial intelligence architectures capable of reasoning across multiple domains.,Artificial Intelligence
A survey of cloud security frameworks for protecting workloads running on shared infrastructure.,Cloud Computing
We propose a serverless architecture for processing large-scale data pipelines on public cloud platforms.,Cloud Computing
We present a text simplification system that rewrites complex sentences for accessibility.,Natural Language Processing
This research presents a disaster recovery strategy for ensuring high availability of cloud-hosted services.,Cloud Computing
This research presents a dialogue system capable of maintaining multi-turn conversational context.,Natural Language Processing
"An analysis of container orchestration platforms, including Kubernetes, for deploying microservices at scale.",Cloud Computing
A survey of unsupervised clustering algorithms and their applications in customer segmentation.,Machine Learning
This paper introduces a soft robotics design for safe physical interaction with humans.,Robotics
"The study compares access control models, including RBAC and ABAC, for enterprise identity management.",Cyber Security
The study introduces a phishing detection model that analyzes email content and URL structure.,Cyber Security
This work explores swarm robotics coordination strategies for multi-robot search and rescue missions.,Robotics
An overview of cross-validation techniques used to estimate the generalization error of machine learning models.,Machine Learning
We introduce an interpretable machine learning model based on decision trees with pruning strategies.,Machine Learning
The study introduces a cost optimization framework for managing multi-cloud infrastructure spending.,Cloud Computing
We present a cloud cost forecasting model based on historical resource utilization patterns.,Cloud Computing
This research examines the ethical implications of deploying autonomous AI decision-making systems in critical infrastructure.,Artificial Intelligence
We propose a topic modeling approach for organizing large collections of research abstracts.,Natural Language Processing
This paper presents an intrusion detection system based on anomaly detection in network traffic.,Cyber Security
An empirical study on the interpretability and explainability of black-box AI decision systems.,Artificial Intelligence
We propose a bipedal robot locomotion controller trained using deep reinforcement learning.,Robotics
This paper introduces a security information and event management (SIEM) pipeline for real-time monitoring.,Cyber Security
We evaluate the trustworthiness of AI systems deployed in high-stakes domains such as healthcare and finance.,Artificial Intelligence
This paper introduces a CI/CD pipeline design for deploying containerized applications to cloud environments.,Cloud Computing
The study introduces a regularization technique that reduces overfitting in deep neural network training.,Machine Learning
The study compares support vector machines and neural networks for time-series forecasting tasks.,Machine Learning
We propose a novel image segmentation technique for identifying tumors in medical CT scans.,Computer Vision
We introduce a generative adversarial network for synthesizing photorealistic images from sketches.,Computer Vision
This work explores hybrid cloud architectures that combine on-premise and public cloud resources.,Cloud Computing
An overview of symbolic and sub-symbolic approaches to building general-purpose artificial intelligence systems.,Artificial Intelligence
A comprehensive review of AI planning algorithms used for long-horizon autonomous task execution.,Artificial Intelligence
The paper evaluates encryption schemes for securing data in transit across untrusted networks.,Cyber Security
